JDTDB,X,Y,Z,VX,VY,VZ
2460796.5,-0.7706314603830494,-0.6599892690717429,0.0002052663443596222,0.01091562147183997,-0.01314439809122521,5.46080207409566e-07
2460796.75,-0.7678956358006385,-0.6632693824436428,0.0002054075779199731,0.01097093577187523,-0.01309647112259089,5.837295124802203e-07
2460797.0,-0.7651460122176588,-0.6665374858686167,0.0002055581728235421,0.01102601342972241,-0.01304831897762189,6.209436442005421e-07
2460797.25,-0.7623826488243926,-0.6697935233947505,0.0002057180002204652,0.0110808542280185,-0.01299994437671525,6.575638687165136e-07
2460797.5,-0.7596056048507484,-0.6730374397372596,0.0002058868928848121,0.01113545806442922,-0.01295134993558983,6.93441978163815e-07
2460797.75,-0.7568149395395039,-0.6762691802517276,0.0002060646478875696,0.01118982493571733,-0.01290253816093531,7.284405883194017e-07
2460798.0,-0.7540107121234645,-0.6794886909065337,0.0002062510293190809,0.01124395492241289,-0.0128535114482348,7.62433242543796e-07
2460798.25,-0.7511929818063493,-0.6826959182549818,0.0002064457710167139,0.01129784817434426,-0.01280427208150172,7.953043472058551e-07
2460798.5,-0.7483618077471675,-0.6858908094075737,0.0002066485792567205,0.01135150489722351,-0.01275482223465469,8.269489647256275e-07
2460798.75,-0.7455172490478016,-0.6890733120048007,0.0002068591353805542,0.01140492534041859,-0.01270516397425102,8.57272490521729e-07
2460799.0,-0.7426593647434904,-0.6922433741907622,0.000207077098327655,0.01145810978599033,-0.01265529926330624,8.861902389534257e-07
2460799.25,-0.7397882137958915,-0.6954009445878458,0.0002073021070564246,0.01151105853902441,-0.0126052299659428,9.136269618179541e-07
2460799.5,-0.7369038550883995,-0.6985459722726494,0.0002075337828383507,0.0115637719192487,-0.0125549578526316,9.395163207260449e-07
2460799.75,-0.7340063474234028,-0.7016784067532646,0.0002077717314161658,0.01161625025389453,-0.01250448460581538,9.638003322640898e-07
2460800.0,-0.7310957495211764,-0.7047981979479967,0.0002080155450226053,0.01166849387173583,-0.01245381182572944,9.864288022516781e-07
2460800.25,-0.7281721200201273,-0.7079052961655437,0.0002082648042563264,0.01172050309822239,-0.01240294103626265,1.007358762841477e-06
2460800.5,-0.7252355174781282,-0.7109996520866361,0.0002085190798202696,0.0117722782516113,-0.01235187369072789,1.02655392368618e-06
2460800.75,-0.7222860003747079,-0.7140812167470919,0.0002087779341248007,0.0118238196399597,-0.01230061117741884,1.043984150839467e-06
2460801.0,-0.7193236271138858,-0.7171499415222322,0.0002090409227634053,0.01187512755899503,-0.01224915482492803,1.059624964099123e-06
2460801.25,-0.7163484560274568,-0.7202057781125824,0.0002093075958688034,0.01192620229058011,-0.0121975059070835,1.073457080814613e-06
2460801.5,-0.7133605453785833,-0.7232486785307586,0.0002095774993579014,0.01197704410180552,-0.01214566564751916,1.085465992692725e-06
2460801.75,-0.7103599533655508,-0.7262785950894488,0.0002098501760772354,0.01202765324456079,-0.01209363522382892,1.095641583677431e-06
2460802.0,-0.7073467381255791,-0.7292954803903774,0.0002101251668571739,0.01207802995550223,-0.01204141577129312,1.103977788811105e-06
